id,category,mutation_name,plsql_construct,original_snippet,mutant_snippet,mutation_rule,why_it_matters,expected_observable_effect,tags,content
MUT-001,declaration,Variable Initialization Flip,scalar variable initialization,v_count := 0;,v_count := 1;,Change the initial value of a local scalar variable.,Catches logic that assumes a clean zero/empty state.,Branch behavior or totals differ from baseline.,"['plsql', 'declaration', 'initialization', 'boundary']","Variable Initialization Flip. In PL/SQL, this mutation targets scalar variable initialization. Original example: v_count := 0; Mutant example: v_count := 1; Mutation rule: Change the initial value of a local scalar variable. Why it matters: Catches logic that assumes a clean zero/empty state. Expected observable effect: Branch behavior or totals differ from baseline."
MUT-002,declaration,Initialize to NULL,scalar variable initialization,v_status := 'OK';,v_status := NULL;,Replace a meaningful initial value with NULL.,Exposes missing NULL checks and defaulting logic.,NULL-handling branch is triggered or exception occurs.,"['plsql', 'declaration', 'null', 'state']","Initialize to NULL. In PL/SQL, this mutation targets scalar variable initialization. Original example: v_status := 'OK'; Mutant example: v_status := NULL; Mutation rule: Replace a meaningful initial value with NULL. Why it matters: Exposes missing NULL checks and defaulting logic. Expected observable effect: NULL-handling branch is triggered or exception occurs."
MUT-003,declaration,Anchor-Type Narrowing,%TYPE declaration,"v_amt NUMBER(10,2);","v_amt NUMBER(5,2);",Narrow the declared precision or length.,Reveals hidden dependence on wide numeric ranges.,"Overflow, rounding, or validation failure.","['plsql', 'declaration', 'datatype', 'precision']","Anchor-Type Narrowing. In PL/SQL, this mutation targets %TYPE declaration. Original example: v_amt NUMBER(10,2); Mutant example: v_amt NUMBER(5,2); Mutation rule: Narrow the declared precision or length. Why it matters: Reveals hidden dependence on wide numeric ranges. Expected observable effect: Overflow, rounding, or validation failure."
MUT-004,declaration,Anchor-Type Widening,%TYPE declaration,v_name VARCHAR2(20);,v_name VARCHAR2(100);,Widen or alter the declared size while preserving syntax.,Detects tests that do not exercise length-sensitive code.,Different truncation or formatting behavior.,"['plsql', 'declaration', 'datatype', 'length']","Anchor-Type Widening. In PL/SQL, this mutation targets %TYPE declaration. Original example: v_name VARCHAR2(20); Mutant example: v_name VARCHAR2(100); Mutation rule: Widen or alter the declared size while preserving syntax. Why it matters: Detects tests that do not exercise length-sensitive code. Expected observable effect: Different truncation or formatting behavior."
MUT-005,declaration,Record Field Swap,%ROWTYPE record access,v_rec.status := 'A';,v_rec.state := 'A';,Change which record field receives the assignment.,Finds field-mapping mistakes in record-heavy procedures.,Wrong data is written or later fetched.,"['plsql', 'declaration', 'record', 'mapping']","Record Field Swap. In PL/SQL, this mutation targets %ROWTYPE record access. Original example: v_rec.status := 'A'; Mutant example: v_rec.state := 'A'; Mutation rule: Change which record field receives the assignment. Why it matters: Finds field-mapping mistakes in record-heavy procedures. Expected observable effect: Wrong data is written or later fetched."
MUT-006,declaration,Collection Index Shift,collection access,v_arr(i) := x;,v_arr(i+1) := x;,Shift a nested-table/array index by one.,Useful for off-by-one errors in bulk or loop code.,Wrong element updated or fetched.,"['plsql', 'declaration', 'collection', 'offbyone']","Collection Index Shift. In PL/SQL, this mutation targets collection access. Original example: v_arr(i) := x; Mutant example: v_arr(i+1) := x; Mutation rule: Shift a nested-table/array index by one. Why it matters: Useful for off-by-one errors in bulk or loop code. Expected observable effect: Wrong element updated or fetched."
MUT-007,parameter,Default Parameter Change,formal parameter default,PROCEDURE p(p_mode IN VARCHAR2 DEFAULT 'A'),PROCEDURE p(p_mode IN VARCHAR2 DEFAULT 'B'),Change the default value used when callers omit the argument.,Checks whether tests cover default-path behavior.,Different branch or workflow is selected.,"['plsql', 'parameter', 'default', 'interface']","Default Parameter Change. In PL/SQL, this mutation targets formal parameter default. Original example: PROCEDURE p(p_mode IN VARCHAR2 DEFAULT 'A') Mutant example: PROCEDURE p(p_mode IN VARCHAR2 DEFAULT 'B') Mutation rule: Change the default value used when callers omit the argument. Why it matters: Checks whether tests cover default-path behavior. Expected observable effect: Different branch or workflow is selected."
MUT-008,parameter,Remove Default Parameter,formal parameter default,PROCEDURE p(p_mode IN VARCHAR2 DEFAULT 'A'),PROCEDURE p(p_mode IN VARCHAR2),Remove the default so callers must pass the argument.,Reveals reliance on implicit arguments.,Call sites fail or must be updated.,"['plsql', 'parameter', 'interface', 'compile']","Remove Default Parameter. In PL/SQL, this mutation targets formal parameter default. Original example: PROCEDURE p(p_mode IN VARCHAR2 DEFAULT 'A') Mutant example: PROCEDURE p(p_mode IN VARCHAR2) Mutation rule: Remove the default so callers must pass the argument. Why it matters: Reveals reliance on implicit arguments. Expected observable effect: Call sites fail or must be updated."
MUT-009,parameter,Call-Site Boundary Value,procedure call argument,p(10);,p(11);,Mutate the passed literal to a nearby boundary value.,Boundary tests are one of the highest-value checks in PL/SQL business logic.,Branch outcomes differ at thresholds.,"['plsql', 'parameter', 'boundary', 'callsite']","Call-Site Boundary Value. In PL/SQL, this mutation targets procedure call argument. Original example: p(10); Mutant example: p(11); Mutation rule: Mutate the passed literal to a nearby boundary value. Why it matters: Boundary tests are one of the highest-value checks in PL/SQL business logic. Expected observable effect: Branch outcomes differ at thresholds."
MUT-010,parameter,Call-Site NULL Injection,procedure call argument,p('ABC');,p(NULL);,Replace a concrete argument with NULL.,Detects missing null validation and exception behavior.,Null branch or exception path is activated.,"['plsql', 'parameter', 'null', 'callsite']","Call-Site NULL Injection. In PL/SQL, this mutation targets procedure call argument. Original example: p('ABC'); Mutant example: p(NULL); Mutation rule: Replace a concrete argument with NULL. Why it matters: Detects missing null validation and exception behavior. Expected observable effect: Null branch or exception path is activated."
MUT-011,parameter,Swap Same-Type Arguments,internal function/procedure call,"x := f(a, b);","x := f(b, a);",Swap arguments that have compatible types.,Very effective for catching weak assertions in layered PL/SQL code.,Returned value or state changes unexpectedly.,"['plsql', 'parameter', 'callsite', 'logic']","Swap Same-Type Arguments. In PL/SQL, this mutation targets internal function/procedure call. Original example: x := f(a, b); Mutant example: x := f(b, a); Mutation rule: Swap arguments that have compatible types. Why it matters: Very effective for catching weak assertions in layered PL/SQL code. Expected observable effect: Returned value or state changes unexpectedly."
MUT-012,arithmetic,Arithmetic Operator Replacement,numeric expression,ratio := sales / total;,ratio := sales * total;,Replace one arithmetic operator with another.,Catches formula mistakes in business rules.,"Wrong totals, ratios, or billing values.","['plsql', 'arithmetic', 'operator', 'formula']","Arithmetic Operator Replacement. In PL/SQL, this mutation targets numeric expression. Original example: ratio := sales / total; Mutant example: ratio := sales * total; Mutation rule: Replace one arithmetic operator with another. Why it matters: Catches formula mistakes in business rules. Expected observable effect: Wrong totals, ratios, or billing values."
MUT-013,arithmetic,Unary Sign Mutation,numeric expression,v_amt := x;,v_amt := -x;,Flip the sign of a numeric expression.,"Useful for fee, discount, and adjustment logic.",Positive/negative outcomes change unexpectedly.,"['plsql', 'arithmetic', 'sign', 'numeric']","Unary Sign Mutation. In PL/SQL, this mutation targets numeric expression. Original example: v_amt := x; Mutant example: v_amt := -x; Mutation rule: Flip the sign of a numeric expression. Why it matters: Useful for fee, discount, and adjustment logic. Expected observable effect: Positive/negative outcomes change unexpectedly."
MUT-014,relational,Greater-Than to Greater-Or-Equal,comparison predicate,IF ratio > 10 THEN,IF ratio >= 10 THEN,Relax a strict comparison by one boundary step.,Classic off-by-one mutant for thresholds.,Boundary case now falls into the branch.,"['plsql', 'relational', 'boundary', 'if']","Greater-Than to Greater-Or-Equal. In PL/SQL, this mutation targets comparison predicate. Original example: IF ratio > 10 THEN Mutant example: IF ratio >= 10 THEN Mutation rule: Relax a strict comparison by one boundary step. Why it matters: Classic off-by-one mutant for thresholds. Expected observable effect: Boundary case now falls into the branch."
